############ citation data set (paper attributes and citations)
# Readme section
# This is a citation graph data set. It consists of 2555 papers and 6101 citation relationship.
# The papers are mainly from 10 research fields, discovered by an author-conference-topic model and available at http://arnetminer.org/topicBrowser.do: Topic 16: Data Mining / Association Rules, Topic 24: Database Systems / XML Data, Topic 75: Information Retrieval, Topic 107: Web Services, Topic 131: Bayesian Networks / Belief function, Topic 144: Web Mining / Information Fusion, Topic 145: Semantic Web / Description Logics, Topic 162: Machine Learning, Topic 182: Pattern recognition / Image analysis, Topic 199: Natural Language System / Statistical Machine Translation.
# Each vertex, i.e. a paper, is attributed with title, year, publication venue, and authors, formatted as "id\txxx\txxxx\txxx\txxx"
# Each edge, a citation relationship, is attributed with source paper id, target paper id, formatted as "source id \t target id \t 1".
# The data set can be used for many (only) research purposes, for example citation influence analysis, link modeling, citation network analysis, sub-graph discovery.
# If you use this data set for research, please cite one of the following papers
#	--Jie Tang, Jimeng Sun, Chi Wang, and Zi Yang. Social Influence Analysis in Large-scale Networks. In Proceedings of the Fifteenth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (SIGKDD'2009).
#	--Jie Tang, Jing Zhang, Limin Yao, Juanzi Li, Li Zhang, and Zhong Su. ArnetMiner: Extraction and Mining of Academic Social Networks. In Proceedings of the Fourteenth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (SIGKDD'2008). pp.990-99
# Online: http://arnetminer.org/resources.  
# Created by Jie Tang on July 29, 2009.   http://keg.cs.tsinghua.edu.cn/persons/tj/.
############

"id\title\year\venue\authors"
"source id \t target id \t 1"

*Vertices 2555
0	Using Interval Timed Coloured Petri Nets to Calculate Performance Bounds	1994	Computer Performance Evaluation	Wil M. P. van der Aalst
1	Roles: A Methodology for Representing Multifaceted Objects	1991	DEXA	Mike P. Papazoglou
2	Using Formal Methods to Construct a Software Component Library	1993	ESEC	Jun-Jang Jeng,Betty H. C. Cheng
3	Algorithms for Asynchronous Parallel Processing of Object-Oriented Databases	1995	IEEE Trans. Knowl. Data Eng.	Arun K. Thakore,Stanley Y. W. Su,Herman Lam
4	Generating a Process Model from a Process Audit Log	2003	Business Process Management	Mati Golani,Shlomit S. Pinter
5	Evaluation of Generic Process Design Patterns: An Experimental Study	2000	Business Process Management	Michael Zapf,Armin Heinzl
6	Process Mining: Discovering Direct Successors in Process Logs	2002	Discovery Science	Laura Maruster,A. J. M. M. Weijters,Wil M. P. van der Aalst,Antal van den Bosch
7	Algebraic Change Propagation for Semijoin and Outerjoin Queries	1998	SIGMOD Record	Timothy Griffin,Bharat Kumar
8	Model-Driven Trust Negotiation for Web Services	2003	IEEE Internet Computing	Halvard Skogsrud,Boualem Benatallah,Fabio Casati
9	Characterization of Database Access Pattern for Analytic Prediction of Buffer Hit Probability	1995	VLDB J.	Asit Dan,Philip S. Yu,Jen-Yao Chung
10	Integrating Priority with Share in the Priority-Based Weighted Fair Queuing Scheduler for Real-Time Networks	2002	Real-Time Systems	Song Wang,Yu-Chung Wang,Kwei-Jay Lin
11	A Unified Framework for Supporting Dynamic Schema Evolution in Object Databases	1999	ER	Boualem Benatallah
